id,book_rating
2140,3.8
2141,3.8
2142,3.8
2143,3.8
2144,3.8
2145,3.8
2146,3.8
2147,3.8
2148,3.8
2149,3.8
2150,3.8
2151,3.8
2152,3.8
2153,3.8
2154,3.8
2155,3.8
2156,3.8
2157,3.8
2158,3.8
2159,3.8
2160,3.8
2161,3.8
2162,3.8
2163,3.8
2164,3.8
2165,3.8
2166,3.8
2167,3.8
2168,3.8
2169,3.8
2170,3.8
2171,3.8
2172,3.8
2173,3.8
2174,3.8
2175,3.8
2176,3.8
2177,3.8
2178,3.8
2179,3.8
2180,3.8
2181,3.8
2182,3.8
2183,3.8
2184,3.8
2185,3.8
2186,3.8
2187,3.8
2188,3.8
2189,3.8
2190,3.8
2191,3.8
2192,3.8
2193,3.8
2194,3.8
2195,3.8
2196,3.8
2197,3.8
2198,3.8
2199,3.8
2200,3.8
2201,3.8
2202,3.8
2203,3.8
2204,3.8
2205,3.8
2206,3.8
2207,3.8
2208,3.8
2209,3.8
2210,3.8
2211,3.8
2212,3.8
2213,3.8
2214,3.8
2215,3.8
2216,3.8
2217,3.8
2218,3.8
2219,3.8
2220,3.8
2221,3.8
2222,3.8
2223,3.8
2224,3.8
2225,3.8
2226,3.8
2227,3.8
2228,3.8
2229,3.8
2230,3.8
2231,3.8
2232,3.8
2233,3.8
2234,3.8
2235,3.8
2236,3.8
2237,3.8
2238,3.8
2239,3.8
2240,3.8
2241,3.8
2242,3.8
2243,3.8
2244,3.8
2245,3.8
2246,3.8
2247,3.8
2248,3.8
2249,3.8
2250,3.8
2251,3.8
2252,3.8
2253,3.8
2254,3.8
2255,3.8
2256,3.8
2257,3.8
2258,3.8
2259,3.8
2260,3.8
2261,3.8
2262,3.8
2263,3.8
2264,3.8
2265,3.8
2266,3.8
2267,3.8
2268,3.8
2269,3.8
2270,3.8
2271,3.8
2272,3.8
2273,3.8
2274,3.8
2275,3.8
2276,3.8
2277,3.8
2278,3.8
2279,3.8
2280,3.8
2281,3.8
2282,3.8
2283,3.8
2284,3.8
2285,3.8
2286,3.8
2287,3.8
2288,3.8
2289,3.8
2290,3.8
2291,3.8
2292,3.8
2293,3.8
2294,3.8
2295,3.8
2296,3.8
2297,3.8
2298,3.8
2299,3.8
2300,3.8
2301,3.8
2302,3.8
2303,3.8
2304,3.8
2305,3.8
2306,3.8
2307,3.8
2308,3.8
2309,3.8
2310,3.8
2311,3.8
2312,3.8
2313,3.8
2314,3.8
2315,3.8
2316,3.8
2317,3.8
2318,3.8
2319,3.8
2320,3.8
2321,3.8
2322,3.8
2323,3.8
2324,3.8
2325,3.8
2326,3.8
2327,3.8
2328,3.8
2329,3.8
2330,3.8
2331,3.8
2332,3.8
2333,3.8
2334,3.8
2335,3.8
2336,3.8
2337,3.8
2338,3.8
2339,3.8
2340,3.8
2341,3.8
2342,3.8
2343,3.8
2344,3.8
2345,3.8
2346,3.8
2347,3.8
2348,3.8
2349,3.8
2350,3.8
2351,3.8
2352,3.8
2353,3.8
2354,3.8
2355,3.8
2356,3.8
2357,3.8
2358,3.8
2359,3.8
2360,3.8
2361,3.8
2362,3.8
2363,3.8
2364,3.8
2365,3.8
2366,3.8
2367,3.8
2368,3.8
2369,3.8
2370,3.8
2371,3.8
2372,3.8
2373,3.8
2374,3.8
2375,3.8
2376,3.8
2377,3.8
2378,3.8
2379,3.8
2380,3.8
2381,3.8
2382,3.8
2383,3.8
2384,3.8
2385,3.8
2386,3.8
2387,3.8
2388,3.8
2389,3.8
2390,3.8
2391,3.8
2392,3.8
2393,3.8
2394,3.8
2395,3.8
2396,3.8
2397,3.8
2398,3.8
2399,3.8
2400,3.8
2401,3.8
2402,3.8
2403,3.8
2404,3.8
2405,3.8
2406,3.8
2407,3.8
2408,3.8
2409,3.8
2410,3.8
2411,3.8
2412,3.8
2413,3.8
2414,3.8
2415,3.8
2416,3.8
2417,3.8
2418,3.8
2419,3.8
2420,3.8
2421,3.8
2422,3.8
2423,3.8
2424,3.8
2425,3.8
2426,3.8
2427,3.8
2428,3.8
2429,3.8
2430,3.8
2431,3.8
2432,3.8
2433,3.8
2434,3.8
2435,3.8
2436,3.8
2437,3.8
2438,3.8
2439,3.8
2440,3.8
2441,3.8
2442,3.8
2443,3.8
2444,3.8
2445,3.8
2446,3.8
2447,3.8
2448,3.8
2449,3.8
2450,3.8
2451,3.8
2452,3.8
2453,3.8
2454,3.8
2455,3.8
2456,3.8
2457,3.8
2458,3.8
2459,3.8
2460,3.8
2461,3.8
2462,3.8
2463,3.8
2464,3.8
2465,3.8
2466,3.8
2467,3.8
2468,3.8
2469,3.8
2470,3.8
2471,3.8
2472,3.8
2473,3.8
2474,3.8
2475,3.8
2476,3.8
2477,3.8
2478,3.8
2479,3.8
2480,3.8
2481,3.8
2482,3.8
2483,3.8
2484,3.8
2485,3.8
2486,3.8
2487,3.8
2488,3.8
2489,3.8
2490,3.8
2491,3.8
2492,3.8
2493,3.8
2494,3.8
2495,3.8
2496,3.8
2497,3.8
2498,3.8
2499,3.8
2500,3.8
2501,3.8
2502,3.8
2503,3.8
2504,3.8
2505,3.8
2506,3.8
2507,3.8
2508,3.8
2509,3.8
2510,3.8
2511,3.8
2512,3.8
2513,3.8
2514,3.8
2515,3.8
2516,3.8
2517,3.8
2518,3.8
2519,3.8
2520,3.8
2521,3.8
2522,3.8
2523,3.8
2524,3.8
2525,3.8
2526,3.8
2527,3.8
2528,3.8
2529,3.8
2530,3.8
2531,3.8
2532,3.8
2533,3.8
2534,3.8
2535,3.8
2536,3.8
2537,3.8
2538,3.8
2539,3.8
2540,3.8
2541,3.8
2542,3.8
2543,3.8
2544,3.8
2545,3.8
2546,3.8
2547,3.8
2548,3.8
2549,3.8
2550,3.8
2551,3.8
2552,3.8
2553,3.8
2554,3.8
2555,3.8
2556,3.8
2557,3.8
2558,3.8
2559,3.8
2560,3.8
2561,3.8
2562,3.8
2563,3.8
2564,3.8
2565,3.8
2566,3.8
2567,3.8
2568,3.8
2569,3.8
2570,3.8
2571,3.8
2572,3.8
2573,3.8
2574,3.8
2575,3.8
2576,3.8
2577,3.8
2578,3.8
2579,3.8
2580,3.8
2581,3.8
2582,3.8
2583,3.8
2584,3.8
2585,3.8
2586,3.8
2587,3.8
2588,3.8
2589,3.8
2590,3.8
2591,3.8
2592,3.8
2593,3.8
2594,3.8
2595,3.8
2596,3.8
2597,3.8
2598,3.8
2599,3.8
2600,3.8
2601,3.8
2602,3.8
2603,3.8
2604,3.8
2605,3.8
2606,3.8
2607,3.8
2608,3.8
2609,3.8
2610,3.8
2611,3.8
2612,3.8
2613,3.8
2614,3.8
2615,3.8
2616,3.8
2617,3.8
2618,3.8
2619,3.8
2620,3.8
2621,3.8
2622,3.8
2623,3.8
2624,3.8
2625,3.8
2626,3.8
2627,3.8
2628,3.8
2629,3.8
2630,3.8
2631,3.8
2632,3.8
2633,3.8
2634,3.8
2635,3.8
2636,3.8
2637,3.8
2638,3.8
2639,3.8
2640,3.8
2641,3.8
2642,3.8
2643,3.8
2644,3.8
2645,3.8
2646,3.8
2647,3.8
2648,3.8
2649,3.8
2650,3.8
2651,3.8
2652,3.8
2653,3.8
2654,3.8
2655,3.8
2656,3.8
2657,3.8
2658,3.8
2659,3.8
2660,3.8
2661,3.8
2662,3.8
2663,3.8
2664,3.8
2665,3.8
2666,3.8
2667,3.8
2668,3.8
2669,3.8
2670,3.8
2671,3.8
2672,3.8
2673,3.8
2674,3.8
2675,3.8
2676,3.8
2677,3.8
2678,3.8
2679,3.8
2680,3.8
2681,3.8
2682,3.8
2683,3.8
2684,3.8
2685,3.8
2686,3.8
2687,3.8
2688,3.8
2689,3.8
2690,3.8
2691,3.8
2692,3.8
2693,3.8
2694,3.8
2695,3.8
2696,3.8
2697,3.8
2698,3.8
2699,3.8
2700,3.8
2701,3.8
2702,3.8
2703,3.8
2704,3.8
2705,3.8
2706,3.8
2707,3.8
2708,3.8
2709,3.8
2710,3.8
2711,3.8
2712,3.8
2713,3.8
2714,3.8
2715,3.8
2716,3.8
2717,3.8
2718,3.8
2719,3.8
2720,3.8
2721,3.8
2722,3.8
2723,3.8
2724,3.8
2725,3.8
2726,3.8
2727,3.8
2728,3.8
2729,3.8
2730,3.8
2731,3.8
2732,3.8
2733,3.8
2734,3.8
2735,3.8
2736,3.8
2737,3.8
2738,3.8
2739,3.8
2740,3.8
2741,3.8
2742,3.8
2743,3.8
2744,3.8
2745,3.8
2746,3.8
2747,3.8
2748,3.8
2749,3.8
2750,3.8
2751,3.8
2752,3.8
2753,3.8
2754,3.8
2755,3.8
2756,3.8
2757,3.8
2758,3.8
2759,3.8
2760,3.8
2761,3.8
2762,3.8
2763,3.8
2764,3.8
2765,3.8
2766,3.8
2767,3.8
2768,3.8
2769,3.8
2770,3.8
2771,3.8
2772,3.8
2773,3.8
2774,3.8
2775,3.8
2776,3.8
2777,3.8
2778,3.8
2779,3.8
2780,3.8
2781,3.8
2782,3.8
2783,3.8
2784,3.8
2785,3.8
2786,3.8
2787,3.8
2788,3.8
2789,3.8
2790,3.8
2791,3.8
2792,3.8
2793,3.8
2794,3.8
2795,3.8
2796,3.8
2797,3.8
2798,3.8
2799,3.8
2800,3.8
2801,3.8
2802,3.8
2803,3.8
2804,3.8
2805,3.8
2806,3.8
2807,3.8
2808,3.8
2809,3.8
2810,3.8
2811,3.8
2812,3.8
2813,3.8
2814,3.8
2815,3.8
2816,3.8
2817,3.8
2818,3.8
2819,3.8
2820,3.8
2821,3.8
2822,3.8
2823,3.8
2824,3.8
2825,3.8
2826,3.8
2827,3.8
2828,3.8
2829,3.8
2830,3.8
2831,3.8
2832,3.8
2833,3.8
2834,3.8
2835,3.8
2836,3.8
2837,3.8
2838,3.8
2839,3.8
2840,3.8
2841,3.8
2842,3.8
2843,3.8
2844,3.8
2845,3.8
2846,3.8
2847,3.8
2848,3.8
2849,3.8
2850,3.8
2851,3.8
2852,3.8
2853,3.8
2854,3.8
2855,3.8
2856,3.8
2857,3.8
2858,3.8
2859,3.8
2860,3.8
2861,3.8
2862,3.8
2863,3.8
2864,3.8
2865,3.8
2866,3.8
2867,3.8
2868,3.8
2869,3.8
2870,3.8
2871,3.8
2872,3.8
2873,3.8
2874,3.8
2875,3.8
2876,3.8
2877,3.8
2878,3.8
2879,3.8
2880,3.8
2881,3.8
2882,3.8
2883,3.8
2884,3.8
2885,3.8
2886,3.8
2887,3.8
2888,3.8
2889,3.8
2890,3.8
2891,3.8
2892,3.8
2893,3.8
2894,3.8
2895,3.8
2896,3.8
2897,3.8
2898,3.8
2899,3.8
2900,3.8
2901,3.8
2902,3.8
2903,3.8
2904,3.8
2905,3.8
2906,3.8
2907,3.8
2908,3.8
2909,3.8
2910,3.8
2911,3.8
2912,3.8
2913,3.8
2914,3.8
2915,3.8
2916,3.8
2917,3.8
2918,3.8
2919,3.8
2920,3.8
2921,3.8
2922,3.8
2923,3.8
2924,3.8
2925,3.8
2926,3.8
2927,3.8
2928,3.8
2929,3.8
2930,3.8
2931,3.8
2932,3.8
2933,3.8
2934,3.8
2935,3.8
2936,3.8
2937,3.8
2938,3.8
2939,3.8
2940,3.8
2941,3.8
2942,3.8
2943,3.8
2944,3.8
2945,3.8
2946,3.8
2947,3.8
2948,3.8
2949,3.8
2950,3.8
2951,3.8
2952,3.8
2953,3.8
2954,3.8
2955,3.8
2956,3.8
2957,3.8
2958,3.8
2959,3.8
2960,3.8
2961,3.8
2962,3.8
2963,3.8
2964,3.8
2965,3.8
2966,3.8
2967,3.8
2968,3.8
2969,3.8
2970,3.8
2971,3.8
2972,3.8
2973,3.8
2974,3.8
2975,3.8
2976,3.8
2977,3.8
2978,3.8
2979,3.8
2980,3.8
2981,3.8
2982,3.8
2983,3.8
2984,3.8
2985,3.8
2986,3.8
2987,3.8
2988,3.8
2989,3.8
2990,3.8
2991,3.8
2992,3.8
2993,3.8
2994,3.8
2995,3.8
2996,3.8
2997,3.8
2998,3.8
2999,3.8
3000,3.8
3001,3.8
3002,3.8
3003,3.8
3004,3.8
3005,3.8
3006,3.8
3007,3.8
3008,3.8
3009,3.8
3010,3.8
3011,3.8
3012,3.8
3013,3.8
3014,3.8
3015,3.8
3016,3.8
3017,3.8
3018,3.8
3019,3.8
